episode,score
1,-280.784621883579
2,-226.72723538248584
3,-68.1824478954075
4,-126.04595333976957
5,-109.71909880467112
6,-89.2061250397949
7,-75.95982172883421
8,-150.26943753233618
9,-94.11257485363397
10,-395.37832045839264
11,-32.35873140279422
12,-219.50155813326452
13,-349.9305771859921
14,-217.53539697405486
15,-171.97509846270174
16,-144.8202913070069
17,40.52677636730107
18,-98.1551598093313
19,-143.45427449472086
20,-102.00879362524589
21,-190.5700157729462
22,-59.579642892336636
23,-149.16645453899378
24,-341.1191951496206
25,-438.2065777868072
26,-101.02418604358128
27,-71.78386619058077
28,-152.1170212139008
29,-70.11050089789782
30,-200.2668227972961
31,-432.237193962416
32,-129.25354423789503
33,-114.80022590266921
34,-260.70968469810396
35,-108.14086327992518
36,-117.81174227990137
37,-50.30186497884712
38,-326.6211753294472
39,-313.70110085950625
40,-35.568183976659626
41,-513.2100076829792
42,-108.69017319702232
43,-260.43860622467855
44,-120.39242340778569
45,-362.4926014632606
46,-172.88348126666364
47,-281.2303753517295
48,-325.7368415614964
49,-276.56927609083493
50,-88.47849184329823
51,-271.79551304028405
52,-84.7670088104893
53,-179.83540919182823
54,-164.8757912620428
55,-220.696246932919
56,-330.7322257821885
57,-252.0699049590006
58,-454.9522857270408
59,-339.78190817780745
60,-62.30824176317484
61,-62.46050348017566
62,-62.69514392089718
63,-498.5009517682015
64,-517.0926192772284
65,-554.6442025674105
66,-51.35579405394364
67,-210.42862140515751
68,-274.9019487310796
69,-354.39863003116335
70,-81.3247706291934
71,-381.86222405510716
72,-201.3669773857579
73,-205.48428579298525
74,-542.966052352187
75,-133.24598303181045
76,-174.63522037435249
77,-180.13187533414396
78,-110.91632540562225
79,-137.0606264327905
80,-136.44204600031136
81,-422.27699272058214
82,-306.1360476616653
83,-194.48118984049424
84,-238.37810108172698
85,-276.9923807389816
86,-218.59227808630865
87,-99.49816820439682
88,-211.0487208985445
89,-197.88089667797806
90,-203.4279597125581
91,-176.2008662723166
92,-64.6678540441596
93,-355.94219322475135
94,14.351475925355373
95,-118.73194903680846
96,-89.23620496573929
97,-252.40909950324914
98,-245.05424893683073
99,7.710630834590162
100,-272.98728524411905
101,-109.2981868651719
102,-247.72529560606284
103,-40.06103096449266
104,-140.552509510017
105,-103.90225613784271
106,-109.28668871900405
107,-72.90205685384875
108,-150.61032676258307
109,-71.88680657497028
110,-184.91585070074666
111,-46.96324706877978
112,-159.2078027017443
113,-143.66681946537477
114,-174.6054807317148
115,-54.64472436232421
116,-117.38377524640559
117,-181.5768190053824
118,-254.6261401448804
119,-168.53711515127645
120,-100.16123929476117
121,-106.01496476233332
122,-161.09226062532838
123,-165.909658233755
124,-86.96245678784953
125,-136.6186810870997
126,-95.10723220290203
127,-134.3478319246235
128,-222.0115230314641
129,-160.09654752945002
130,-93.60717764921088
131,-102.27963840008069
132,-57.31871876581513
133,-95.71595002955166
134,-69.84914475720295
135,-9.004386496540178
136,-140.8172447156225
137,-201.37258081574316
138,-26.744380531564218
139,48.5977567394425
140,-124.0778538210278
141,-110.95356221402784
142,-139.22544672656602
143,-107.8831636196478
144,-10.652751791149981
145,-267.48772829803556
146,-245.56355391065367
147,-109.50098355444992
148,-107.7575471163029
149,-78.6687117212379
150,-117.98189140560159
151,-242.25292236831913
152,-167.24073643113152
153,-264.87947718464045
154,-36.954211474720026
155,-105.22457512522723
156,-11.73130479254229
157,-49.140918512199505
158,-88.07709384145294
159,-203.61472938118965
160,-28.9943526061773
161,-241.6137481739845
162,-36.98794147517009
163,-109.03643663988593
164,-4.724315683726772
165,-38.80808917968249
166,-47.95339300450344
167,-58.601173035735826
168,-80.2686953832891
169,-120.50704334395647
170,-201.661107845954
171,-100.99284618251471
172,-10.364958384186792
173,-207.30057685724105
174,-80.59684266771254
175,-113.69461004642072
176,-93.90798115600035
177,-63.37320267235518
178,-111.01669861719387
