attempt,score
1,233.98828049783717
2,30.004574690491864
3,218.25335152905018
4,155.89025363565128
5,159.73754971424023
6,174.74280134438658
7,157.52656169364877
8,178.85305678909953
9,302.53386704478544
10,153.19926694447895
11,174.0380005287301
12,194.98647067296753
13,48.988845888097075
14,170.28678876199453
15,151.93248076903174
16,178.8036903177156
17,208.21600256418913
18,148.69969531794098
19,274.21653239317334
20,185.61406651075637
21,256.7337879038804
22,152.13647078648384
23,254.5049346330469
24,156.99262525845
25,151.71718411851185
26,145.21112886435535
27,167.26228378653144
28,272.38814010407253
29,64.32825423145698
30,293.42729456655246
31,205.82419636391214
32,189.49918229147775
33,87.79471712562409
34,186.79549428927004
35,150.05875385385426
36,178.16099710562847
37,70.13233081491055
38,267.29775614523413
39,85.09896432085355
40,169.31273252408565
41,156.72084848820117
42,299.16076972667344
43,156.46535255293676
44,38.52638869732448
45,127.73941144051497
46,155.34303314734518
47,270.66364983684457
48,190.34957030434148
49,165.85905886539965
50,6.550080678882097
51,165.39230063613698
52,272.4173835922967
53,269.00906283312145
54,285.8108395265196
55,282.51433363672754
56,172.43977985695489
57,148.10782633101678
58,290.14741521358246
59,64.55453443574848
60,155.5183672074351
61,213.84970658979864
62,193.57086153106084
63,232.67523694750622
64,284.47401286608635
65,189.0558225221097
66,160.46567740929663
67,279.5687105635478
68,292.8568265631927
69,-10.07995786052048
70,23.06683529620497
71,-12.088506517786612
72,267.84542304522495
73,177.46934066922125
74,164.08469413414755
75,262.77705838828183
76,145.88840042396833
77,158.66544361069361
78,156.5461000738025
79,285.8062555005406
80,157.4119976143969
81,140.49930437397265
82,249.20470391240497
83,290.6589754676595
84,273.98795693699185
85,285.68073137252304
86,258.7329153525578
87,190.4303922208311
88,52.96954745431165
89,158.009559826893
90,188.90711085850972
91,195.0643385528086
92,261.58112233403034
93,125.21076210036695
94,148.60894998766898
95,271.28781442667344
96,191.1218356824884
97,67.99469690328013
98,150.12555114917396
99,260.302546614413
100,192.72704537776696
