episode,epsilon,score
1,1.0,-280.784621883579
2,0.995,-226.72723538248584
3,0.990025,-68.1824478954075
4,0.985074875,-126.04595333976957
5,0.9801495006250001,-109.71909880467112
6,0.9752487531218751,-89.2061250397949
7,0.9703725093562657,-75.95982172883421
8,0.9655206468094844,-150.26943753233618
9,0.960693043575437,-94.11257485363397
10,0.9558895783575597,-395.37832045839264
11,0.9511101304657719,-32.35873140279422
12,0.946354579813443,-219.50155813326452
13,0.9416228069143757,-349.9305771859921
14,0.9369146928798039,-217.53539697405486
15,0.9322301194154049,-171.97509846270174
16,0.9275689688183278,-144.8202913070069
17,0.9229311239742362,40.52677636730107
18,0.918316468354365,-98.1551598093313
19,0.9137248860125932,-143.45427449472086
20,0.9091562615825302,-102.00879362524589
21,0.9046104802746175,-190.5700157729462
22,0.9000874278732445,-59.579642892336636
23,0.8955869907338783,-149.16645453899378
24,0.8911090557802088,-341.1191951496206
25,0.8866535105013078,-438.2065777868072
26,0.8822202429488013,-101.02418604358128
27,0.8778091417340573,-71.78386619058077
28,0.8734200960253871,-152.1170212139008
29,0.8690529955452602,-70.11050089789782
30,0.8647077305675338,-200.2668227972961
31,0.8603841919146962,-432.237193962416
32,0.8560822709551227,-129.25354423789503
33,0.851801859600347,-114.80022590266921
34,0.8475428503023453,-260.70968469810396
35,0.8433051360508336,-108.14086327992518
36,0.8390886103705794,-117.81174227990137
37,0.8348931673187264,-50.30186497884712
38,0.8307187014821328,-326.6211753294472
39,0.8265651079747222,-313.70110085950625
40,0.8224322824348486,-35.568183976659626
41,0.8183201210226743,-513.2100076829792
42,0.8142285204175609,-108.69017319702232
43,0.810157377815473,-260.43860622467855
44,0.8061065909263957,-120.39242340778569
45,0.8020760579717637,-362.4926014632606
46,0.798065677681905,-172.88348126666364
47,0.7940753492934954,-281.2303753517295
48,0.7901049725470279,-325.7368415614964
49,0.7861544476842928,-276.56927609083493
50,0.7822236754458713,-88.47849184329823
51,0.778312557068642,-271.79551304028405
52,0.7744209942832988,-84.7670088104893
53,0.7705488893118823,-179.83540919182823
54,0.7666961448653229,-164.8757912620428
55,0.7628626641409962,-220.696246932919
56,0.7590483508202912,-330.7322257821885
57,0.7552531090661897,-252.0699049590006
58,0.7514768435208588,-454.9522857270408
59,0.7477194593032545,-339.78190817780745
60,0.7439808620067382,-62.30824176317484
61,0.7402609576967045,-62.46050348017566
62,0.736559652908221,-62.69514392089718
63,0.7328768546436799,-498.5009517682015
64,0.7292124703704616,-517.0926192772284
65,0.7255664080186093,-554.6442025674105
66,0.7219385759785162,-51.35579405394364
67,0.7183288830986236,-210.42862140515751
68,0.7147372386831305,-274.9019487310796
69,0.7111635524897149,-354.39863003116335
70,0.7076077347272662,-81.3247706291934
71,0.7040696960536299,-381.86222405510716
72,0.7005493475733617,-201.3669773857579
73,0.697046600835495,-205.48428579298525
74,0.6935613678313175,-542.966052352187
75,0.6900935609921609,-133.24598303181045
76,0.6866430931872001,-174.63522037435249
77,0.6832098777212641,-180.13187533414396
78,0.6797938283326578,-110.91632540562225
79,0.6763948591909945,-137.0606264327905
80,0.6730128848950395,-136.44204600031136
81,0.6696478204705644,-422.27699272058214
82,0.6662995813682115,-306.1360476616653
83,0.6629680834613705,-194.48118984049424
84,0.6596532430440636,-238.37810108172698
85,0.6563549768288433,-276.9923807389816
86,0.653073201944699,-218.59227808630865
87,0.6498078359349755,-99.49816820439682
88,0.6465587967553006,-211.0487208985445
89,0.6433260027715241,-197.88089667797806
90,0.6401093727576664,-203.4279597125581
91,0.6369088258938781,-176.2008662723166
92,0.6337242817644086,-64.6678540441596
93,0.6305556603555866,-355.94219322475135
94,0.6274028820538087,14.351475925355373
95,0.6242658676435396,-118.73194903680846
96,0.6211445383053219,-89.23620496573929
97,0.6180388156137953,-252.40909950324914
98,0.6149486215357263,-245.05424893683073
99,0.6118738784280476,7.710630834590162
100,0.6088145090359074,-272.98728524411905
101,0.6057704364907278,-109.2981868651719
102,0.6027415843082742,-247.72529560606284
103,0.5997278763867329,-40.06103096449266
104,0.5967292370047992,-140.552509510017
105,0.5937455908197752,-103.90225613784271
106,0.5907768628656763,-109.28668871900405
107,0.5878229785513479,-72.90205685384875
108,0.5848838636585911,-150.61032676258307
109,0.5819594443402982,-71.88680657497028
110,0.5790496471185967,-184.91585070074666
111,0.5761543988830038,-46.96324706877978
112,0.5732736268885887,-159.2078027017443
113,0.5704072587541458,-143.66681946537477
114,0.567555222460375,-174.6054807317148
115,0.5647174463480732,-54.64472436232421
116,0.5618938591163328,-117.38377524640559
117,0.5590843898207511,-181.5768190053824
118,0.5562889678716474,-254.6261401448804
119,0.5535075230322891,-168.53711515127645
120,0.5507399854171277,-100.16123929476117
121,0.547986285490042,-106.01496476233332
122,0.5452463540625918,-161.09226062532838
123,0.5425201222922789,-165.909658233755
124,0.5398075216808175,-86.96245678784953
125,0.5371084840724134,-136.6186810870997
126,0.5344229416520513,-95.10723220290203
127,0.531750826943791,-134.3478319246235
128,0.5290920728090721,-222.0115230314641
129,0.5264466124450268,-160.09654752945002
130,0.5238143793828016,-93.60717764921088
131,0.5211953074858876,-102.27963840008069
132,0.5185893309484582,-57.31871876581513
133,0.5159963842937159,-95.71595002955166
134,0.5134164023722473,-69.84914475720295
135,0.510849320360386,-9.004386496540178
136,0.5082950737585841,-140.8172447156225
137,0.5057535983897912,-201.37258081574316
138,0.5032248303978422,-26.744380531564218
139,0.500708706245853,48.5977567394425
140,0.4982051627146237,-124.0778538210278
141,0.49571413690105054,-110.95356221402784
