episode,epsilon,score
1,1.0,-112.7595538947914
2,0.995,-329.701742411087
3,0.990025,-520.8519672416365
4,0.985074875,-249.84347447848262
5,0.9801495006250001,-252.85110635562495
6,0.9752487531218751,-482.605662443118
7,0.9703725093562657,-1365.886897573496
8,0.9655206468094844,-476.57493913284577
9,0.960693043575437,-196.36134578497598
10,0.9558895783575597,-526.7150149744829
11,0.9511101304657719,-382.94111924914733
12,0.946354579813443,-477.59701351434063
13,0.9416228069143757,-352.34685736331943
14,0.9369146928798039,-255.9885630277278
15,0.9322301194154049,-736.5953790223942
16,0.9275689688183278,-275.1320591740945
17,0.9229311239742362,-291.5904564587934
18,0.918316468354365,-720.106968008519
19,0.9137248860125932,-450.05307668250714
20,0.9091562615825302,-596.5504221789568
21,0.9046104802746175,-527.7247477412135
22,0.9000874278732445,-953.6097384597992
23,0.8955869907338783,-225.7511728972393
24,0.8911090557802088,-96.67678661563357
25,0.8866535105013078,-535.1182101632896
26,0.8822202429488013,-543.6043191168042
27,0.8778091417340573,-246.12647114672006
28,0.8734200960253871,-426.39684013557155
29,0.8690529955452602,-103.12122421395001
30,0.8647077305675338,-287.9521928049153
31,0.8603841919146962,-360.47816275117174
32,0.8560822709551227,-574.7438270820155
33,0.851801859600347,-447.5204483626612
34,0.8475428503023453,-364.46508558282983
35,0.8433051360508336,-539.631920102845
36,0.8390886103705794,-562.7593991595386
37,0.8348931673187264,-548.4521343483215
38,0.8307187014821328,-535.1618621765392
39,0.8265651079747222,-713.9098792116346
40,0.8224322824348486,-274.07387582059266
41,0.8183201210226743,-248.21500810083694
42,0.8142285204175609,-338.7938168212339
43,0.810157377815473,-410.2628666126394
44,0.8061065909263957,-170.15207997774277
45,0.8020760579717637,-225.69857314476252
46,0.798065677681905,-385.09902173296064
47,0.7940753492934954,-318.36861457344776
48,0.7901049725470279,-433.4644286795882
49,0.7861544476842928,-277.27643049509453
50,0.7822236754458713,-741.7896377086299
51,0.778312557068642,-894.8249687454825
52,0.7744209942832988,-83.7595775674245
53,0.7705488893118823,-367.0956941673169
